,luhn_algorithm summary
1532,"Curbishley delight for Johansson

Charlton manager Alan Curbishley paid tribute to two-goal striker Jonatan Johansson after beating Norwich.

Curbishley was subjected to criticism from Charlton fans recently, and he said: ""The thing about this club is that we have got where we are by all pulling in the same direction.Curbishley said after the 4-0 win: ""There was talk about Norwich being interested in the summer but I have a lot of faith in Jonatan.""He's part of our squad and he got us a couple of important goals early on.""That's happened for however long I've been here and we don't want people taking sides.""
I'm sure he's happy here, but I was delighted with all the players.""""When there was talk of other clubs I just told him he was going nowhere."
1533,"Lennon brands Rangers favourites

Celtic's Neil Lennon admits Rangers could be considered ""slight favourites"" for the Old Firm CIS Cup clash, but insists his side can still win.

""Of course, it is a concern when you are losing goals, because we have been notorious for being a team that is hard to beat and keeping clean sheets, but hopefully we are over that wee run.Lennon concedes Rangers are in good form at the moment, but they have failed to beat Celtic in their last seven meetings.""At the minute, we are at the top of the league and still in with a chance of staying in Europe, so I don't think it is the crisis people have been trying to make out.""Considering we lost Henrik Larsson at the end of last season, we have still been scoring a lot of goals, which is pleasing.""But it's a game we believe we're capable of winning if we play our best,"" he told the Evening Times.""All the boys are looking forward to it because they are brilliant games to be involved in."
1534,"McClaren hails Boro's Uefa spirit

Middlesbrough boss Steve McClaren has praised the way his side have got to grips with European football after the 2-0 Uefa Cup win against Lazio.

Middlesbrough forward Boudewijn Zenden said he did not expect such a comfortable match after he scored both goals.The Holland international said Boro are confident of progressing in the competition after winning their first two group games.Before the match, McClaren had said that a win over the Italian giants would put Boro firmly on the European footballing map.""We've got a very good feeling, there is a good spirit, all the lads work hard for each other and it's a squad of friendly players, which I think you can see on the pitch,"" he added.
""But I had watched Lazio in recent weeks and I saw them score a late equaliser against Inter Milan on SaturdayBoro, who are playing in Europe for the first time in their 128-year history, are top of Group E with maximum points."
1535,"Benitez delight after crucial win

Liverpool manager Rafael Benitez admitted victory against Deportivo La Coruna was vital in their tight Champions League group.

Igor Biscan was outstanding in midfield after replacing injured Xabi Alonso, and Benitez said: ""He played very well.""But in the end because of the way that (Dietmar) Hamann and (Igor) Biscan performed, we did not need to change things until right at the end of the match.Benitez added: Benitez said: ""We had a problem before the start, it was decided that Xabi could not play more than 45 minutes.Benitez added: ""It is all back in our own hands now, it was a great win for us and I was delighted with what I feel was the best Liverpool I have seen.""It is important to have all the players ready and a good squad so you can play more games at a high level.""Deportivo coach Javier Irureta said: ""Liverpool played very well and we just could not break them down."
1536,"Bevan, Oyedele, Ntimban-Zeh, Crooks, Puncheon, Kamara (Makofo 64), Chorley, Herve (McKoy 45), Tapp (Johnson 45), Mackie, Pacquette.Phillips, Amankwaah, Coles, Hill, Fortune, Murray (Anyinsah 59), Doherty (Harley 45), Dinning, Bell, Lita (Cotterill 72), Gillespie.Bristol City 2-1 Milton Keynes

Leroy Lita took his goal tally to 13 for the season as his double earned City an LDV Vans Trophy win.

The visitors almost took the tie to extra time with a late 30-yard bullet from Richard Johnson which was well held by Steve Phillips.

Lita then made it 2-0 on 52 minutes, but Dons' substitute Serge Makofo then netted a great volley to make it 2-1.The striker finished off Scott Murray cross from close range just seconds before half-time.Pacquette, Chorley, Johnson, McKoy.

"
1537,"Ingham, Mulligan, Fenton, Morley, Priet (Ryan 79), McIndoe, Ravenhill (Price 90), Rigoglioso, Tierney (Jackson 79), Beardsley, Coppinger.Mawson, Travis, Mkandawire, James, Robinson, Daniel Williams, Stanley, Hyde (Pitman 105), Purdie (Mills 83), Brown, Stansfield (Green 102).Rovers took the lead on 59 minutes as Michael McIndoe's corner found Adriano Rigoglioso, whose stunning volley soared into the top right of the net.Danny Williams equalised for the hosts after 72 minutes with a crisp finish from just insist the penalty box.McIndoe saw an extra-time penalty saved, giving Mills the chance to net the winning penalty.

Hereford 1-1 Doncaster

Hereford win 3-1 on penalties.

Rigoglioso 59.

1,375

T Parkes (W Midlands).
"
1538,"His spell in charge of the national side came to an end after the 1998 World Cup when he made controversial remarks about the disabled in a newspaper interview.He has been out of the game since being sacked at Spurs in September 2003 and worked alongside Wolves caretaker boss Stuart Gray at Southampton.The club have confirmed that the former England coach will be unveiled as the successor to Dave Jones at a news conference at Molineux at 1100 GMT.Hoddle began his managerial career as player-boss with Swindon before moving on to Chelsea and then taking up the England job.

He engineered an upturn in Saints' fortunes before being lured to White Hart Lane by Tottenham - the club where he made his name as a player.That relationship turned sour at the start of the last campaign and he left the London club early last season.Wolves appoint Hoddle as manager

Glenn Hoddle will be unveiled as the new Wolves manager on Tuesday.

"
1539,"With Arsenal hit by injuries and suspension, inexperienced midfield pair of Mathieu Flamini and Cesc Fabregas will line up against Rosenborg but Wenger is confident they will prove more than capable.Wenger keeping faith with Almunia

Arsene Wenger has pledged to keep faith with stand-in keeper Manuel Almunia for the crunch week which could define Arsenal's season.

And the 30-year-old, whose current contract runs out in the summer, has made it clear he is determined to achieve Champions League success with Arsenal.Wenger insists he has complete faith in the 27-year-old Spaniard, who was signed last summer from Celta Vigo as back-up to Jens Lehmann.

Henry will captain the side in place of the suspended Patrick Vieira as the Gunners seek the required victory over Rosenborg.Almunia will start Tuesday's Champions League group tie against Rosenborg and is likely to face Chelsea on Sunday.""

Meanwhile, Thierry Henry believes he will be blamed if Arsenal fail to qualify for the next stage of the Champions League."
1540,"Houllier praises Benitez regime

Former Liverpool manager Gerard Houllier has praised the work of his Anfield successor Rafael Benitez.

He has been working for Uefa, covering the Premiership for French television and also coaching in Brazil with national coach Carlos Alberto Perreira.They have some very good creative players in Damien Duff and Arjen Robben and Didier Drogba showed he can change the face of a game when he came on against Newcastle.""

Houllier has been impressed with the quality in the Premiership after watching as a pundit - particularly with Jose Mourinho's work at leaders Chelsea.The former France boss has been linked with a host of jobs and pulled out of the race to succeed Mark Hughes as Wales national coach.Houllier also revealed he is now ready to return to the game after leaving Liverpool in May following six years at Anfield.

""Jose had results before he came to Chelsea and I think he will have an impact in the Premiership because he manages his team very cleverly."""
1541,"Middlesbrough boss Steve McClaren believes his side can clinch a top-four spot in the Premiership and secure qualification for the Champions League.

McClaren also praised winger Stewart Downing and strikers Jimmy Floyd Hasselbaink and Mark Viduka, who both ended barren runs in front of goal.After their 3-2 win over Manchester City, McClaren said: ""We are playing exciting football, it's a magnificent result to keep us in the top five.""And the strikers scored great goals, the combination play between them shows they want to play with each other and they are trying.""
He added: ""If Stewart keeps playing like this Sven-Goran Eriksson has got to pick him.McClaren targets Champions League

""Once we got the third goal it should have been four or five but we nearly paid for it in the end."""
1542,"O'Leary wants his backroom staff - assistant manager Roy Aitken and fitness coach Steve McGregor - to also be given satisfactory deals, which will tie them to Villa until the summer of 2008.
Hitzlsperger waiting on O'Leary

Aston Villa's Thomas Hitzlsperger is waiting to learn the future of manager David O'Leary before committing himself to a new contract with the club.

But he wants assurances that O'Leary will also be committing himself long-term because negotiations over a new three-and-a-half-year contract appear to have stalled.

The German international is understood to be keen to remain at Villa, despite interest in his native country from Hamburg.Hitzlsperger's current deal expires in the summer and he has been offered a new deal by the Midlands club.O'Leary has been in talks over a new deal and he said: ""I had a message from Thomas' agent asking me what the news was on myself.""The reason Thomas is not speaking to the club is because the agent wants to see the outcome of what happens to me."""
1543,"Mourinho to escape FA charge

Chelsea boss Jose Mourinho will not face any Football Association action over the comments he made after their Carling Cup tie with Manchester United.

Referees chief Keith Hackett believes Mourinho should retract his comments about Ferguson and Barry as he believes the Blues boss has questioned their integrity.Mourinho intimated that United boss Sir Alex Ferguson influenced referee Neale Barry after the duo walked down the tunnel together at half-time.Mourinho was concerned that Ferguson's conversation with Barry was followed by an inconsistent display by the official.""Sometimes managers have grounds for comments, and I note that, but a referees integrity has been questioned, that is offensive and should be avoided.""Maybe when I turn 60 and have been managing in the same league for 20 years and have the respect of everybody I will have the power to speak to people and make them tremble a little bit.Mourinho added that the match was entertaining for a goalless draw and insisted his team could still reach the final."
1544,"""For somebody of Glenn's calibre to come in on a short-term contract and put his reputation on the line, it demonstrates his commitment and self-belief and the potential he thinks is here.""His spell in charge of the national side came to an end after the 1998 World Cup when he made controversial remarks about the disabled in a newspaper interview.The ex-England coach has been given a six-month contract to succeed Dave Jones, who was sacked after the club's poor start to the season.""

Hoddle began his managerial career as player-boss with Swindon before moving on to Chelsea and then taking up the England job.Wolves chief executive Jez Moxey defended the decision to give Hoddle a short-term contract.He engineered an upturn in Saints' fortunes before being lured to White Hart Lane by Tottenham - the club where he made his name as a player.""I saw the massive potential that Wolves have got and their desire and amibition to get back into the Premiership parallels my ambitions."
1545,"Southampton chairman Rupert Lowe was desperate to give former academy director Wigley, who replaced Paul Sturrock just two games into the season, every chance to succeed at St Mary's.But he left the club claiming he needed a break from football, though many believed he was upset with Mandaric's decision to bring in Velimir Zajec as executive director.

Redknapp poised for Saints

Southampton are set to unveil Harry Redknapp as their new manager at a news conference at 1500 GMT on Wednesday.

Portsmouth chairman Milan Mandaric said he was ""disappointed"" by the news and claimed Redknapp had been in talks with Southampton for ""some time"".

Redknapp became a cult hero after leading Portsmouth into the Premiership for the first time, and then masterminding their survival in their debut season.The former Portsmouth boss replaces Steve Wigley, who has been relieved of first-team duties after just one win in 14 league games in charge.Redknapp, 57, quit his Fratton Park position on 24 November and vowed: ""I will not go down the road - no chance."""
1546,"FA charges Liverpool and Millwall

Liverpool and Millwall have been charged by the Football Association over crowd trouble during their Carling Cup match on 26 October.

They have been charged with failing to ensure that fans refrained from racist and/or abusive behaviour and for failing to prevent spectators throwing missiles onto the pitch.Liverpool fans claimed the trouble was sparked by chants about the Hillsborough disaster, where 96 supporters were crushed to death in April 1989.Liverpool have been charged with one breach for failing to prevent their fans conducting themselves in threatening and/or violent and/or provocative behaviour.He has said CCTV footage showed the catalyst for the trouble was a Liverpool fan attacking a Millwall fan in the west stand.A disabled fan was injured at the perimeter of the pitch and riot police were needed to control the situation.Millwall, who lost the match 3-0, have also been charged over alleged racist behaviour by their supporters."
1547,"""

Ferguson had also claimed that United chief executive David Gill and Arsenal vice-chairman David Dein had agreed at boardroom level not to discuss the incident in public.Wenger steps up row

Arsene Wenger has stepped up his feud with Sir Alex Ferguson by claiming the Manchester United manager is guilty of bringing football into disrepute.

The latest twist in the Ferguson-Wenger saga came on Saturday when the United boss, in an interview with The Independent newspaper, discussed the events after the game between the two sides in October.Ferguson admitted on Saturday that Van Nistelrooy's tackle, which earned the Dutchman a ban, ""could have given (Cole) a serious injury"", but he believes Arsenal were the main aggressors.

During that stormy game in October, United striker Ruud van Nistelrooy caught Arsenal's Ashley Cole with one particularly strong tackle.Wenger later accused Van Nistelrooy of ""cheating"" and was fined Â£15,000 and ""severely reprimanded"" by the Football Association.""

Those allegations were put to Wenger after Saturday's game at Bolton, which Arsenal lost to slip 10 points behind Chelsea in the title race."
1548,"Liverpool revel in night of glory

Liverpool manager Rafael Benitez said their qualification for the next stage of the Champions League was ""one of the proudest nights of my career.Benitez hailed Gerrard for his match-winning strike four minutes from time and also the Anfield crowd for sticking by their side after they had fallen a goal behind at the interval.Liverpool's win means all four of England's Champions League representatives have reached the knockout stages for the first time.
The Reds scored three second-half goals in a sensational comeback capped by Gerrard's 20-yard drive.""

The Reds beat Olympiakos 3-1 with a late Steven Gerrard strike and Benitez said: ""It was a really great night.Gerrard admitted he thought they were going out of the Champions League after trailing 1-0 at half-time.""I want to say thank-you to the supporters, they were magnificent to help us achieve this result."""
1549,"AC Milan, Bayer Leverkusen, Internazionale, Juventus, Lyon.

who had already qualified, fielded a second-string side and went down 3-0 to Fenerbahce.

AC Milan, Bayer Leverkusen, Internazionale, Juventus, Monaco.

Barcelona, Bayern Munich, Porto, Real Madrid, Werder Bremen

, who had already qualified lost 2-1 to Porto as Jose Mourinho made an unhappy return to his former club.

English clubs make Euro history

All four of England's Champions League representatives have reached the knockout stages for the first time.

Steven Gerrard's last-gasp wonder-strike secured qualification for

against Olympiakos on Wednesday evening.

The favourites are Chelsea and Barcelona, and Real Madrid, the two Milan sides, Juventus and Bayern Munich are among the 16 still in the hat.

Arsenal and Chelsea are seeded as group winners, while runners-up Manchester United and Liverpool are not.Barcelona, Bayern Munich, PSV Eindhoven, Real Madrid, Werder Bremen.
"
1550,"Ferguson puts faith in youngsters

Manchester United manager Sir Alex Ferguson said he has no regrets after his second-string side lost 3-0 away at Fenerbahce in the Champions League.

Ferguson admitted his side were well-beaten by the Turks, a result which meant they finished second in Group D behind Lyon.""We could get Inter, AC Milan and Juventus but Bayern, Barcelona and Real Madrid were among the runners-up.""I care about United, that's important, so while I am disappointed at the result I am not at the team I selected.Ferguson said: ""The good thing about being manager is that you are in control of which team to pick.""I didn't think it made much difference whether we won the group or finished second""This game was important for the young lads."
1551,"Beckham relief as Real go through

David Beckham expressed his relief at Real Madrid's passage to the Champions League knockout phase.

After Real's 3-0 win at Roma, the England skipper admitted another season of under-achievement would not be tolerated at the Bernabeu stadium.Real's finish as runners-up in their Champions League group means they cannot face his old club Manchester United in the next round.But Real could be drawn against other Premiership hopefuls, Arsenal or Chelsea, who won their respective groups.Beckham said: ""It's expected of Madrid to get through, but it's a relief for the club and players to have won.""We lost momentum last season but we cannot afford to to go another season without winning anything.""""It's going to be great whoever we play, even if we don't get either of the two English teams."
1552,"Howard, Phil Neville, Gary Neville, O'Shea, Fortune, Giggs (Saha 70), Miller (Fletcher 66), Scholes, Djemba-Djemba (Silvestre 80), Ronaldo, Rooney.In stoppage time Exeter created their best chance as Alex Jeannin swung in a cross from the left that Devine managed to flick goalwards, but the ball flew wide of Howard's goal.Scholes played a lovely pass in to Ronaldo on the left-hand side of the six-yard box and the Portuguese winger slid the ball between the legs of Jones to open the scoring.

The persistent Rooney eventually rounded Jones with three minutes to go and slotted into an empty net to book a home tie with Middlesbrough in the fourth round.

After Rooney had completely messed up a free-kick 20 yards out Taylor showed him how it should be done, his stunning drive from distance forcing a flying stop from Howard.Moments later Devine had the chance to make himself a hero, but he could only volley Jeannin's brilliant cross wide of Howard's goal after being left unmarked six yards out.United boss Sir Alex Ferguson was taking few chances after their 0-0 draw in the first game and he handed starts to Paul Scholes and Ryan as well as Ronaldo and Rooney."
1553,"Hamm will now embark on a new life with husband, Chicago Cubs shortstop Nomar Garciaparra, who was in the stands to watch her final game.Hamm ends her career as the most prolific scorer - male or female - in international football, with 158 goals in 276 games for the US.Hamm, 32, who officially retired after this year's Athens Olympics, took to the field for the last time to help the US claim a 5-0 win over Mexico.She was twice Fifa women's player of the year and won the World Cup in 1991 and 1999 and two Olympic golds.Hamm bows out for US

Women's football legend Mia Hamm has played her final game.

The friendly also saw the end of Julie Foudy and Joy Fawcett's US careers.There are things in your life that you have had to put on the back-burner and you can focus more time and energy on that now."
1554,"Almunia was at fault for Rosenborg's goal in Arsenal's 5-1 Champions League win on Tuesday and had some hairy moments in last week's win over Birmingham.Arsenal have been linked with Middlesbrough keeper Mark Schwarzer, Fulham's Edwin van der Sar and Parma's Sebastien Frey.Wenger rules out new keeper

Arsenal boss Arsene Wenger says he has no plans to sign a new goalkeeper during the January transfer window.

The Gunners manager refused to comment on the difficult start that 27-year-old Almunia has made to his career at Highbury.And Wenger has no immediate plans to recall former England Under-21 international Stuart Taylor from his loan spell at Leicester.
Wenger has brought in Manuel Almunia for the last three games for the out-of-form Jens Lehmann - but the Spaniard himself has been prone to mistakes.But Wenger said earlier this week that his indifferent form was down to pressure caused by being under scrutiny from the media."
1555,"Liverpool pledge to keep Gerrard

Liverpool chief executive Rick Parry insists the club will never sell Steven Gerrard amid reports Chelsea will renew their bid to lure him from Anfield.

Gerrard scored a spectacular late goal to give Liverpool a 3-1 win over Olympiakos and book their place in the knockout stages.Gerrard had said before Wednesday's game he would consider leaving if the club was knocked out of Europe, with Real Madrid also believed to be monitoring his situation.

Gerrard reiterated his desire to win trophies with the Reds after his superb Champions League winner on Wednesday.""The main point I have made is I want to be in a Liverpool side which challenges for the Champions League and the title all the time,"" he said afterwards.""

Reds manager Rafael Benitez believes Gerrard can win everything he wants to without moving clubs.""I know I put a lot of pressure on myself because of what I said, and I felt I needed a big performance, but I am not going to go around telling lies about how I feel."
1556,"Pearce keen on succeeding Keegan

Joint assistant boss Stuart Pearce has admitted he would like to succeed Kevin Keegan as manager at Manchester City.

The former England defender had a year as player-boss with Nottingham Forest eight seasons ago but has made no secret of his desire to have another crack at the job.He was promoted to joint assistant-manager following the departure of Arthur Cox last summer.

Pearce initially joined City as a player under Keegan in 2001 before becoming part of the coaching staff.""You don't have to be Einstein to realise there will be a manager's job available at a really good club,"" Pearce told BBC GMR.He added: ""By that time, I will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being Kevin's successor.He was linked with the manager's job at Oldham and Keegan has stated he would not get in the way if Pearce wanted to leave."
1557,"Initial reports suggested the Basque separatist group ETA may be responsible for the bomb threat after issuing similar warnings before a series of small explosions in recent days.Bomb threat at Bernabeu stadium

Spectators were evacuated from Real Madrid's Bernabeu stadium on Sunday following a bomb scare during the game between the hosts and Real Sociedad.

If the result remains at 1-1, Real will drop to third place in the standings, 11 points behind leaders Barcelona, who snatched a late 2-1 win at Albacete on Saturday.Sociedad levelled the match midway through the second half when Turkish striker Nihat Kahveci smashed home with an acrobatic finish.The Basque newspaper Gara apparently received a telephone call saying a bomb was due to explode at 2100 local time.The Bernabeu was targeted by ETA on 1 May, 2002, when Madrid were about to play FC Barcelona in a Champions League semi-final.Madrid midfielder Guti told private Spanish radio station Cadena Ser: ""I have never seen this before and sport should be above it all."""
1558,"Cech, Paulo Ferreira, Ricardo Carvalho (Drogba 45), Terry, Gallas, Duff, Tiago (Bridge 45), Makelele, Lampard, Robben, Gudjohnsen (Parker 77).The French striker headed a long Cesc Faregas ball back to Jose Antonio Reyes from the edge of the Chelsea area and immediately saw it headed back into his path from the Spaniard.Henry's quickly-taken free-kick put Arsenal back in front but Eidur Gudjohnsen equalised with a header from William Gallas' knockback.Matthieu Flamini had a late penal appeal waved away before the final whistle which maintained Chelsea five-point Premiership lead over Arsenal.

Almunia, Lauren, Toure, Campbell, Cole, Pires, Flamini, Fabregas, Reyes (Clichy 82), Bergkamp (Van Persie 82), Henry.And, with his back to goal, Henry finished with aplomb when he took one touch, turned and struck an angled strike past the despairing dive of keeper Petr Cech.Chelsea's main threat was coming from crosses and Lampard missed a great opportunity as he headed wide when left unmarked at the far post."
1559,"The two clubs met the Spanish FA on Monday and Astiazaran added: ""We thought about giving the game as concluded but after talking with the FA we decided there was no precedent for that and the best thing was to play the time that was remaining.""Real will finish abandoned match

Real Madrid and Real Socieded will play the final six minutes of their match, which was abandoned on Sunday because of a bomb scare.

Butragueno confirned, before confirming that Tuesday's charity match - which has been billed as ""Ronaldo's friends against Zidane's friends"" - will go ahead as planned.""I'd also like to take the chance to say that tomorrow's game will take place,"" Butragueno declared of the ""Partido contra la Pobreza"" (Game Against Poverty).Real Madrid director of sport Emilio Butragueno praised the spectators inside the ground for their conduct.Brazilian Ronaldo and England captain David Beckham had to wait in the street in their kit after the abandonment.Real Sociedad president Jose Luis Astiazaran said: ""We thought the best thing was to play the time remaining."
1560,"Poll explains free-kick decision

Referee Graham Poll said he applied the laws of the game in allowing Arsenal striker Thierry Henry's free-kick in Sunday's 2-2 draw with Chelsea.

""We spoke to all the Premier League clubs as well as all the Football League clubs in the summer of 2003 explaining what the situation was,"" he added ""We gave them the option of either the quick free-kick or the 'ceremonial' free-kick.""The same thing happened when I refereed Chelsea against West Ham in an FA Cup replay two years ago - when Jimmy Floyd Hasselbaink scored - and I don't remember them complaining about that.""Keeper Petr Cech was organising his defensive wall when Henry's quick free-kick flew in, which angered Chelsea.Don was head of the referees for the Premier League and revealed all clubs were informed of free-kick options.Henry explained why he paused before striking the ball for the goal, which put Arsenal 2-1 ahead.

Henry told BBC Radio Five Live: ""The ref asked me if I wanted 10 yards or if I wanted to take it straight away"
1561,"Solskjaer raises hopes of return

Manchester United striker Ole Gunnar Solskjaer said he hoped to return next season following a career-threatening injury to his right knee.

The 31-year-old Norway international had surgery in Sweden in August to transplant cartilage into the joint.Solskjaer last played for United as a late substitute in May's FA Cup final win over Millwall.His contract with United runs out in 2006, by which time he will have been at the Premier League club for 10 years.
""I'm in no doubt that I'll play again,"" Solskjaer told Aftenposten Daily.""The problem will be the speed but we're talking about eight months' time.I'm slavishly following a programme."""
1562,"Former England Under-21 keeper Weaver has missed nearly three full seasons with a succession of knee injuries, which eventually needed pioneering transplant surgery earlier this year.
Newcastle boss Graeme Souness is said to have been impressed enough by Dunne's turnaround in form to be ready to make a bid for the big stopper in the January transfer window.Dunne's professionalism was famously questioned by Keegan, who ordered the defender home after he allegedly turned up for training in a dishevelled state.

Dunne keen to commit to Man City

Richard Dunne is ready to commit his long-term future to Manchester City after turning his career around.

Keegan is set for another boost when goalkeeper Nicky Weaver makes his long-awaited return in a reserve game at Blackburn on Tuesday.He was once threatened with the sack by City boss Kevin Keegan but has since responded with impressive performances, prompting interest from other clubs.But Dunne is keen to put that period of his life behind him and said: ""I've grown up a lot and the manager sees me as one of the most experienced players in the squad."
1563,"He will stay on in an unpaid capacity while Peter Lorimer will continue in his role as director and point of contact for the fans and Peter McCormick will serve as a consultant to the incoming board.Outgoing Leeds chairman Gerald Krasner said: ""This deal ensures the medium to long term survival of the club and I believe Mr Bates' proposals are totally for the benefit of the club.""When we took over Leeds United in March 2004, the club had a debt of Â£103m, since that date, my board has succeeded in reducing the debt to under Â£25m. ""We worked tirelessly to solve all of the problems at Leeds United.On Leeds' new-look board it is understood that Lorimer will be joined by former Chelsea finance director Yvonne Todd and Bates' lawyer Mark Taylor.

The club was on the brink of administration - and the deduction of 10 points by the Football League - before Bates' arrival but his investment has spared them that prospect.
Krasner revealed that his consortium has been asked to remain in the background at the club for an undisclosed period to help ensure a smooth hand-over.Bates stepped down as Chelsea chairman in March last year following Roman Abramovich's Â£140m takeover at Stamford Bridge."
1564,"Ferguson rues failure to cut gap

Boss Sir Alex Ferguson was left ruing Manchester United's failure to close the gap on Chelsea, Everton and Arsenal after his side's 1-1 draw with Fulham.

Premiership leaders Chelsea and the Gunners endured a 2-2 stalemate on Sunday, giving United the chance to make up some ground in the league.United went ahead through Alan Smith in the 33rd minute before Bouba Diop's superb 25-yard strike cancelled out the visitors' lead in the 87th minute.Ferguson described the result as an ""absolute giveaway"" after United had earlier missed a host of opportunities to finish off the encounter.The result leaves Ferguson's side fourth in the league on 31 points - four points behind Arsenal and a further five back from Chelsea.
He said: ""It was a good performance - some of the football was fantastic - but we just didn't finish them off.But Ferguson said: ""I think what makes it so bad is that both our rivals dropped points at the weekend."
1565,"The additional bans come into effect from 28 December meaning Camara will also be unavailable for the home game against Livingston while Novo will miss the meetings with Dundee United and Dunfermline.Old Firm pair handed suspensions

Celtic's Henri Camara and Nacho Novo of Rangers have both been suspended for offences missed by the referee in a recent Old Firm game.

Both players will miss this weekend's games when Celtic host Dundee United and Rangers visit Kilmarnock unless they decide to appeal.

Meanwhile, Bob Malcolm and Rangers have been informed by letter as to the outcome of the hearing regarding his reaction to Rangers being awarded a penalty in the same game.Malcolm, a substitute on the day, was taken from the Rangers dug-out and spoken to by police about an alleged gesture he made.""Once Rangers receive our letter we will be in a position to make a comment on the findings,"" added the spokesman.
Both were given automatic one-match bans and 12 additional disciplinary points for their actions."
1566,"Anelka apologises for criticism

Manchester City striker Nicolas Anelka has issued an apology for criticising the ambitions of the club.

City recently announced debts of Â£62m, but Wardle confirmed they would try and find funds to bring in players in the January transfer window.Wardle was speaking at the club's annual general meeting, where he also confirmed the club had not received any bids for the former Arsenal and Real Madrid striker.He has been linked with a move to Barcelona and Liverpool, and Reds skipper Steven Gerrard also revealed he is an admirer from his time on loan at Anfield.""He was an academy kid here, he's just signed a new four-year deal, I don't think he'd do that unless he wanted to play for Manchester City Football Club.""Wardle did stress that the club was not inviting any offers for England winger Shaun Wright-Phillips.But chairman John Wardle said: ""I've spoken to Nicolas and he's apologised for anything that might have been mistakenly taken from the French press."
1567,"Ferguson rues failure to cut gap

Boss Sir Alex Ferguson was left ruing Manchester United's failure to close the gap on Chelsea, Everton and Arsenal after his side's 1-1 draw with Fulham.

Premiership leaders Chelsea and the Gunners endured a 2-2 stalemate on Sunday, giving United the chance to make up some ground in the league.United went ahead through Alan Smith in the 33rd minute before Bouba Diop's superb 25-yard strike cancelled out the visitors' lead in the 87th minute.Ferguson described the result as an ""absolute giveaway"" after United had earlier missed a host of opportunities to finish off the encounter.The result leaves Ferguson's side fourth in the league on 31 points - four points behind Arsenal and a further five back from Chelsea.
He said: ""It was a good performance - some of the football was fantastic - but we just didn't finish them off.But Ferguson said: ""I think what makes it so bad is that both our rivals dropped points at the weekend."
1568,"Everton's Weir cools Euro hopes

Everton defender David Weir has played down talk of European football, despite his team lying in second place in the Premiership after beating Liverpool.

""Also injuries and suspensions haven't cost us too badly and we have a lot of self-belief around the place.Weir told BBC Radio Five Live: ""We don't want to rest on our laurels and say we have achieved anything yet.""I think you start taking your eye off the ball if you make statements and look too far into the future.""If you start making predictions you soon fall back into trouble.He said: ""We are looking after each other and hard work goes a long way in this league.The only thing that matters is the next game."""
1569,"Spain coach faces racism inquiry

Spain's Football Federation has initiated disciplinary action against national coach Luis Aragones over racist comments about Thierry Henry.

Aragones insisted the comments, made to Henry's Arsenal club-mate Jose Antonio Reyes, were meant to motivate the player, and were not intended to be offensive.

The federation had initially declined to take action against Aragones after comments he made during a national team training session in October.England's players made a point of wearing anti-racism t-shirts when training before their friendly against Spain in Madrid last month.

But its president Angel Maria Villar changed his mind after a request by Spain's anti-violence commission.Spain's minister of sport Jaime Lissavetzky was quick to give his backing to the Federation's decision.But the storm increased following racist chanting by Spanish fans at England's black players during the game, which Spain won 1-0."
1570,"Spain coach faces racism inquiry

Spain's Football Federation has initiated disciplinary action against national coach Luis Aragones over racist comments about Thierry Henry.

Aragones insisted the comments, made to Henry's Arsenal club-mate Jose Antonio Reyes, were meant to motivate the player, and were not intended to be offensive.

The federation had initially declined to take action against Aragones after comments he made during a national team training session in October.England's players made a point of wearing anti-racism t-shirts when training before their friendly against Spain in Madrid last month.

But its president Angel Maria Villar changed his mind after a request by Spain's anti-violence commission.Spain's minister of sport Jaime Lissavetzky was quick to give his backing to the Federation's decision.But the storm increased following racist chanting by Spanish fans at England's black players during the game, which Spain won 1-0."
1571,"Benitez deflects blame from Dudek

Liverpool manager Rafael Benitez has refused to point the finger of blame at goalkeeper Jerzy Dudek after Portsmouth claimed a draw at Anfield.

Dudek fumbled a cross before Lomana LuaLua headed home an injury-time equaliser, levelling after Steven Gerrard put Liverpool ahead.Benitez admitted it was a costly loss of two points by Liverpool, who followed up their derby defeat against Everton with a disappointing draw.""He was expecting a cross from Matthew Taylor and it ended up like a shot, so I don't blame him for what happened.""Now we have another difficult game against Newcastle and we have to recover quickly from that.""If you don't have any chances you have to think of other things, but when you are creating so many chances as we are there is nothing you can say to the players.He said: ""We had many opportunities but didn't score and, in the end, a 1-0 lead was not enough."
1572,"""Craig walked off the training ground saying his hamstring was tight (on Friday), but what he failed to reveal was that he had told other members of the squad before training that he intended to feign injury.Bellamy fined after row

Newcastle have fined their Welsh striker Craig Bellamy two weeks' wages - about Â£80,000 - following his row with manager Graeme Souness.

Bellamy's claim that Souness had lied about the background to the bust-up was strongly denied by Shepherd, who accused the striker of ""cheating"" the club.Souness dropped Bellamy for Sunday's game against Arsenal, claiming the Welshman had feigned injury after being asked to play out of position.But even before Newcastle said the player would not be sold, Bellamy insisted he had no intention of handing in a transfer request.The difficult relationship between Souness and Bellamy boiled over at the weekend, and has led to a war of words in the media.

Magpies chairman Freddy Shepherd told the Newcastle Evening Chronicle: ""It is not about money."
